城市,标题,标题链接,薪资,公司名称,公司性质,公司规模,行业领域,采集时的时间
杭州,BI分析师-053,https://jobs.example.com/hangzhou/900053.html,13-17K,示例科技17有限公司,合资,150-500人,金融科技,2026-06-03 14:00:00
杭州,数据分析师-063,https://jobs.example.com/hangzhou/900063.html,15-17K,示例科技09有限公司,外企,1000人以上,金融科技,2026-06-04 00:00:00
杭州,数据清洗工程师-073,https://jobs.example.com/hangzhou/900073.html,9-17K,示例科技01有限公司,合资,150-500人,金融科技,2026-06-04 10:00:00
杭州,HR数据顾问-083,https://jobs.example.com/hangzhou/900083.html,11-17K,示例科技11有限公司,外企,1000人以上,金融科技,2026-06-04 20:00:00
杭州,Python工程师-093,https://jobs.example.com/hangzhou/900093.html,13-17K,示例科技03有限公司,合资,150-500人,金融科技,2026-06-05 06:00:00
杭州,爬虫工程师-103,https://jobs.example.com/hangzhou/900103.html,15-17K,示例科技13有限公司,外企,1000人以上,金融科技,2026-06-05 16:00:00
武汉,HR数据顾问-006,https://jobs.example.com/wuhan/900006.html,14-20K,示例科技06有限公司,上市公司,500-1000人,企业服务,2026-06-01 15:00:00
武汉,Python工程师-016,https://jobs.example.com/wuhan/900016.html,8-20K,示例科技16有限公司,民营,50-150人,企业服务,2026-06-02 01:00:00
武汉,爬虫工程师-026,https://jobs.example.com/wuhan/900026.html,10-20K,示例科技08有限公司,上市公司,500-1000人,企业服务,2026-06-02 11:00:00
武汉,招聘运营专员-036,https://jobs.example.com/wuhan/900036.html,12-20K,示例科技00有限公司,民营,50-150人,企业服务,2026-06-02 21:00:00
武汉,BI分析师-046,https://jobs.example.com/wuhan/900046.html,14-20K,示例科技10有限公司,上市公司,500-1000人,企业服务,2026-06-03 07:00:00
武汉,数据分析师-056,https://jobs.example.com/wuhan/900056.html,8-20K,示例科技02有限公司,民营,50-150人,企业服务,2026-06-03 17:00:00
武汉,数据清洗工程师-066,https://jobs.example.com/wuhan/900066.html,10-20K,示例科技12有限公司,上市公司,500-1000人,企业服务,2026-06-04 03:00:00
武汉,HR数据顾问-076,https://jobs.example.com/wuhan/900076.html,12-20K,示例科技04有限公司,民营,50-150人,企业服务,2026-06-04 13:00:00
武汉,Python工程师-086,https://jobs.example.com/wuhan/900086.html,14-20K,示例科技14有限公司,上市公司,500-1000人,企业服务,2026-06-04 23:00:00
武汉,爬虫工程师-096,https://jobs.example.com/wuhan/900096.html,8-20K,示例科技06有限公司,民营,50-150人,企业服务,2026-06-05 09:00:00
深圳,Python工程师-002,https://jobs.example.com/shenzhen/900002.html,10-16K,示例科技02有限公司,上市公司,500-1000人,智能制造,2026-06-01 11:00:00
深圳,爬虫工程师-012,https://jobs.example.com/shenzhen/900012.html,12-16K,示例科技12有限公司,民营,50-150人,智能制造,2026-06-01 21:00:00
深圳,招聘运营专员-022,https://jobs.example.com/shenzhen/900022.html,14-16K,示例科技04有限公司,上市公司,500-1000人,智能制造,2026-06-02 07:00:00
深圳,BI分析师-032,https://jobs.example.com/shenzhen/900032.html,8-16K,示例科技14有限公司,民营,50-150人,智能制造,2026-06-02 17:00:00
深圳,数据分析师-042,https://jobs.example.com/shenzhen/900042.html,10-16K,示例科技06有限公司,上市公司,500-1000人,智能制造,2026-06-03 03:00:00
深圳,数据清洗工程师-052,https://jobs.example.com/shenzhen/900052.html,12-16K,示例科技16有限公司,民营,50-150人,智能制造,2026-06-03 13:00:00
深圳,HR数据顾问-062,https://jobs.example.com/shenzhen/900062.html,14-16K,示例科技08有限公司,上市公司,500-1000人,智能制造,2026-06-03 23:00:00
深圳,Python工程师-072,https://jobs.example.com/shenzhen/900072.html,8-16K,示例科技00有限公司,民营,50-150人,智能制造,2026-06-04 09:00:00
深圳,爬虫工程师-082,https://jobs.example.com/shenzhen/900082.html,10-16K,示例科技10有限公司,上市公司,500-1000人,智能制造,2026-06-04 19:00:00
深圳,招聘运营专员-092,https://jobs.example.com/shenzhen/900092.html,12-16K,示例科技02有限公司,民营,50-150人,智能制造,2026-06-05 05:00:00
深圳,BI分析师-102,https://jobs.example.com/shenzhen/900102.html,14-16K,示例科技12有限公司,上市公司,500-1000人,智能制造,2026-06-05 15:00:00
苏州,数据分析师-007,https://jobs.example.com/suzhou/900007.html,15-21K,示例科技07有限公司,外企,1000人以上,智能制造,2026-06-01 16:00:00
苏州,HR数据顾问-027,https://jobs.example.com/suzhou/900027.html,11-21K,示例科技09有限公司,外企,1000人以上,智能制造,2026-06-02 12:00:00
苏州,Python工程师-037,https://jobs.example.com/suzhou/900037.html,13-21K,示例科技01有限公司,合资,150-500人,智能制造,2026-06-02 22:00:00
苏州,爬虫工程师-047,https://jobs.example.com/suzhou/900047.html,15-21K,示例科技11有限公司,外企,1000人以上,智能制造,2026-06-03 08:00:00
苏州,招聘运营专员-057,https://jobs.example.com/suzhou/900057.html,9-21K,示例科技03有限公司,合资,150-500人,智能制造,2026-06-03 18:00:00
苏州,BI分析师-067,https://jobs.example.com/suzhou/900067.html,11-21K,示例科技13有限公司,外企,1000人以上,智能制造,2026-06-04 04:00:00
苏州,数据分析师-077,https://jobs.example.com/suzhou/900077.html,13-21K,示例科技05有限公司,合资,150-500人,智能制造,2026-06-04 14:00:00
苏州,数据清洗工程师-087,https://jobs.example.com/suzhou/900087.html,15-21K,示例科技15有限公司,外企,1000人以上,智能制造,2026-06-05 00:00:00
苏州,HR数据顾问-097,https://jobs.example.com/suzhou/900097.html,9-21K,示例科技07有限公司,合资,150-500人,智能制造,2026-06-05 10:00:00
